[1000, [RandomSet,1][MinimumConnectivity,1], [DepthFirstSearchLowCost,1][LeastConnectedFirst,1], {Topology,random}, {NumberOfNodes,100}, {NumberOfHideLocations,5}, {Rounds,1}, {EdgeWeight,10.0}, {FixedOrUpperWeight,random}, {EdgeTraversalDecrement,0}, {MixHiders,true}, {MixSeekers,false}]
hRandomSet,Cost, 178.2854110831137, Score, 32.666666666666664,sDepthFirstSearchLowCost,Cost, 287.4076365233899, Score, -33.33333333333333, PathLength, 99.0,sLeastConnectedFirst,Cost, 455.5937393895027, Score, -32.0, PathLength, 95.0,
hMinimumConnectivity,Cost, 16150.47163572962, Score, 33.666666666666664,sDepthFirstSearchLowCost,Cost, 468.2658087476736, Score, -45.0, PathLength, 134.0,sLeastConnectedFirst,Cost, 345.6384255993096, Score, -22.333333333333332, PathLength, 66.0,
hRandomSet,Cost, 154.853255761218, Score, 39.5,sDepthFirstSearchLowCost,Cost, 528.9795352578393, Score, -51.0, PathLength, 152.0,sLeastConnectedFirst,Cost, 455.1139215065319, Score, -28.000000000000004, PathLength, 83.0,
hMinimumConnectivity,Cost, 2812.2647231414453, Score, 30.666666666666668,sDepthFirstSearchLowCost,Cost, 512.1722452400763, Score, -47.0, PathLength, 140.0,sLeastConnectedFirst,Cost, 226.09951721144913, Score, -14.333333333333334, PathLength, 42.0,
hMinimumConnectivity,Cost, 16415.786679769095, Score, 40.0,sDepthFirstSearchLowCost,Cost, 540.8071840406767, Score, -57.333333333333336, PathLength, 171.0,sLeastConnectedFirst,Cost, 328.1168486112434, Score, -22.666666666666664, PathLength, 67.0,
hRandomSet,Cost, 252.9120746538642, Score, 40.16666666666667,sDepthFirstSearchLowCost,Cost, 506.6445303687199, Score, -49.333333333333336, PathLength, 147.0,sLeastConnectedFirst,Cost, 418.8899922812705, Score, -31.0, PathLength, 92.0,
hRandomSet,Cost, 163.88454182189355, Score, 34.16666666666667,sDepthFirstSearchLowCost,Cost, 288.0844272459943, Score, -33.666666666666664, PathLength, 100.0,sLeastConnectedFirst,Cost, 531.9553876381301, Score, -34.66666666666667, PathLength, 103.0,
hMinimumConnectivity,Cost, 4137.275787907834, Score, 36.0,sDepthFirstSearchLowCost,Cost, 504.33849109735604, Score, -48.333333333333336, PathLength, 144.0,sLeastConnectedFirst,Cost, 333.2388238090077, Score, -23.666666666666668, PathLength, 70.0,
hRandomSet,Cost, 119.06655652456287, Score, 27.333333333333336,sDepthFirstSearchLowCost,Cost, 187.15340833540247, Score, -25.0, PathLength, 74.0,sLeastConnectedFirst,Cost, 417.6377459226751, Score, -29.666666666666668, PathLength, 88.0,
hMinimumConnectivity,Cost, 10142.684176685645, Score, 33.5,sDepthFirstSearchLowCost,Cost, 392.85621969140675, Score, -41.0, PathLength, 122.0,sLeastConnectedFirst,Cost, 377.1567065450426, Score, -26.0, PathLength, 77.0,
