[1000, [RandomSet,1][MinimumConnectivity,1], [DepthFirstSearchLowCost,1][MostConnectedFirst,1], {Topology,random}, {NumberOfNodes,100}, {NumberOfHideLocations,5}, {Rounds,1}, {EdgeWeight,10.0}, {FixedOrUpperWeight,random}, {EdgeTraversalDecrement,0}, {MixHiders,true}, {MixSeekers,false}]
hRandomSet,Cost, 352.17958037689164, Score, 34.33333333333333,sDepthFirstSearchLowCost,Cost, 156.38681641828992, Score, -23.333333333333332, PathLength, 69.0,sMostConnectedFirst,Cost, 639.6750445996939, Score, -45.33333333333333, PathLength, 135.0,
hRandomSet,Cost, 141.8844656048045, Score, 32.83333333333333,sDepthFirstSearchLowCost,Cost, 309.037117687409, Score, -33.0, PathLength, 98.0,sMostConnectedFirst,Cost, 487.70088100859687, Score, -32.666666666666664, PathLength, 97.0,
hMinimumConnectivity,Cost, 17198.47292887183, Score, 89.83333333333334,sDepthFirstSearchLowCost,Cost, 477.9248113132472, Score, -50.66666666666667, PathLength, 151.0,sMostConnectedFirst,Cost, 1795.382653738218, Score, -129.0, PathLength, 386.0,
hMinimumConnectivity,Cost, 2774.602269381839, Score, 64.66666666666667,sDepthFirstSearchLowCost,Cost, 314.36819005270047, Score, -31.333333333333336, PathLength, 93.0,sMostConnectedFirst,Cost, 1539.9781860985079, Score, -98.0, PathLength, 293.0,
hRandomSet,Cost, 236.3718048386451, Score, 29.333333333333336,sDepthFirstSearchLowCost,Cost, 367.14658426070315, Score, -37.333333333333336, PathLength, 111.0,sMostConnectedFirst,Cost, 348.74952902888526, Score, -21.333333333333336, PathLength, 63.0,
hMinimumConnectivity,Cost, 8563.134373486024, Score, 86.0,sDepthFirstSearchLowCost,Cost, 578.7439061300307, Score, -53.666666666666664, PathLength, 160.0,sMostConnectedFirst,Cost, 1786.325486535128, Score, -118.33333333333333, PathLength, 354.0,
hRandomSet,Cost, 202.61943911035323, Score, 33.5,sDepthFirstSearchLowCost,Cost, 396.8735896617022, Score, -40.33333333333333, PathLength, 120.0,sMostConnectedFirst,Cost, 333.54689413447716, Score, -26.666666666666668, PathLength, 79.0,
hMinimumConnectivity,Cost, 14599.319722680646, Score, 81.0,sDepthFirstSearchLowCost,Cost, 617.2992930459529, Score, -58.666666666666664, PathLength, 175.0,sMostConnectedFirst,Cost, 1531.7261861565964, Score, -103.33333333333334, PathLength, 309.0,
hMinimumConnectivity,Cost, 6911.736274430027, Score, 85.33333333333333,sDepthFirstSearchLowCost,Cost, 651.5857712811501, Score, -62.33333333333333, PathLength, 186.0,sMostConnectedFirst,Cost, 1701.5227652588326, Score, -108.33333333333333, PathLength, 324.0,
hRandomSet,Cost, 212.94995708249644, Score, 50.666666666666664,sDepthFirstSearchLowCost,Cost, 513.8033103755178, Score, -51.0, PathLength, 152.0,sMostConnectedFirst,Cost, 694.9816271710442, Score, -50.33333333333333, PathLength, 150.0,
hRandomSet,Cost, 193.50077717335617, Score, 24.0,sDepthFirstSearchLowCost,Cost, 163.9380759255573, Score, -21.333333333333336, PathLength, 63.0,sMostConnectedFirst,Cost, 411.3913716224097, Score, -26.666666666666668, PathLength, 79.0,
hRandomSet,Cost, 138.03044722097601, Score, 31.5,sDepthFirstSearchLowCost,Cost, 301.161611133726, Score, -33.0, PathLength, 98.0,sMostConnectedFirst,Cost, 417.17073715886556, Score, -30.0, PathLength, 89.0,
hMinimumConnectivity,Cost, 14180.388222895286, Score, 47.66666666666667,sDepthFirstSearchLowCost,Cost, 362.7343475678401, Score, -35.66666666666667, PathLength, 106.0,sMostConnectedFirst,Cost, 863.80771695632, Score, -59.66666666666667, PathLength, 178.0,
hMinimumConnectivity,Cost, 15654.116289186282, Score, 115.66666666666667,sDepthFirstSearchLowCost,Cost, 659.7403889216807, Score, -56.333333333333336, PathLength, 168.0,sMostConnectedFirst,Cost, 2650.9728407886087, Score, -175.0, PathLength, 524.0,
hRandomSet,Cost, 203.78437231211782, Score, 26.5,sDepthFirstSearchLowCost,Cost, 223.69790419594082, Score, -28.999999999999996, PathLength, 86.0,sMostConnectedFirst,Cost, 342.6704881513621, Score, -24.0, PathLength, 71.0,
hMinimumConnectivity,Cost, 14806.33558533278, Score, 68.83333333333333,sDepthFirstSearchLowCost,Cost, 538.0925179650512, Score, -51.33333333333333, PathLength, 153.0,sMostConnectedFirst,Cost, 1355.4524733645753, Score, -86.33333333333333, PathLength, 258.0,
