[1000, [MinimumConnectivity,1][RandomSet,1], [DepthFirstSearchLowCost,1][LeastConnectedFirst,1], {Topology,random}, {NumberOfNodes,100}, {NumberOfHideLocations,5}, {Rounds,1}, {EdgeWeight,10.0}, {FixedOrUpperWeight,random}, {EdgeTraversalDecrement,0}, {MixHiders,true}, {MixSeekers,false}]
hMinimumConnectivity,Cost, 15879.333637688187, Score, 43.666666666666664,sDepthFirstSearchLowCost,Cost, 723.5222830891777, Score, -65.66666666666666, PathLength, 196.0,sLeastConnectedFirst,Cost, 324.4271473440054, Score, -21.666666666666668, PathLength, 64.0,
hMinimumConnectivity,Cost, 8988.67904475913, Score, 40.16666666666667,sDepthFirstSearchLowCost,Cost, 529.0732131588131, Score, -50.66666666666667, PathLength, 151.0,sLeastConnectedFirst,Cost, 405.5492671735205, Score, -29.666666666666668, PathLength, 88.0,
hRandomSet,Cost, 239.6452267124706, Score, 38.16666666666667,sDepthFirstSearchLowCost,Cost, 577.9074043599296, Score, -53.333333333333336, PathLength, 159.0,sLeastConnectedFirst,Cost, 356.32706775152866, Score, -23.0, PathLength, 68.0,
hRandomSet,Cost, 184.04924712676385, Score, 27.0,sDepthFirstSearchLowCost,Cost, 245.7211164834556, Score, -28.666666666666668, PathLength, 85.0,sLeastConnectedFirst,Cost, 410.6509261748245, Score, -25.333333333333336, PathLength, 75.0,
hMinimumConnectivity,Cost, 12081.527038963493, Score, 42.33333333333333,sDepthFirstSearchLowCost,Cost, 602.9485384719479, Score, -57.666666666666664, PathLength, 172.0,sLeastConnectedFirst,Cost, 390.54049845541095, Score, -27.0, PathLength, 80.0,
hRandomSet,Cost, 146.4065605568087, Score, 30.666666666666668,sDepthFirstSearchLowCost,Cost, 384.16036392938946, Score, -36.333333333333336, PathLength, 108.0,sLeastConnectedFirst,Cost, 346.05760606655684, Score, -25.0, PathLength, 74.0,
hMinimumConnectivity,Cost, 11075.616286809156, Score, 31.333333333333336,sDepthFirstSearchLowCost,Cost, 399.9677375522068, Score, -41.0, PathLength, 122.0,sLeastConnectedFirst,Cost, 326.35240401272387, Score, -21.666666666666668, PathLength, 64.0,
hRandomSet,Cost, 135.37294712366284, Score, 43.99999999999999,sDepthFirstSearchLowCost,Cost, 657.5222260990109, Score, -64.66666666666666, PathLength, 193.0,sLeastConnectedFirst,Cost, 371.1173545067843, Score, -23.333333333333332, PathLength, 69.0,
hRandomSet,Cost, 339.82930786453886, Score, 45.83333333333333,sDepthFirstSearchLowCost,Cost, 623.9470862493164, Score, -59.333333333333336, PathLength, 177.0,sLeastConnectedFirst,Cost, 499.34038489536124, Score, -32.33333333333333, PathLength, 96.0,
hRandomSet,Cost, 195.85406113946203, Score, 41.0,sDepthFirstSearchLowCost,Cost, 506.85653995212755, Score, -48.333333333333336, PathLength, 144.0,sLeastConnectedFirst,Cost, 475.7489981047641, Score, -33.666666666666664, PathLength, 100.0,
hMinimumConnectivity,Cost, 14637.636165802485, Score, 45.5,sDepthFirstSearchLowCost,Cost, 599.1809199449311, Score, -59.333333333333336, PathLength, 177.0,sLeastConnectedFirst,Cost, 454.42754306996005, Score, -31.666666666666664, PathLength, 94.0,
hMinimumConnectivity,Cost, 16132.816746593855, Score, 35.16666666666667,sDepthFirstSearchLowCost,Cost, 454.39073943803146, Score, -42.333333333333336, PathLength, 126.0,sLeastConnectedFirst,Cost, 448.3039439714831, Score, -28.000000000000004, PathLength, 83.0,
hRandomSet,Cost, 133.6348730578564, Score, 32.666666666666664,sDepthFirstSearchLowCost,Cost, 456.21731987395447, Score, -42.0, PathLength, 125.0,sLeastConnectedFirst,Cost, 307.90393052872497, Score, -23.333333333333332, PathLength, 69.0,
hMinimumConnectivity,Cost, 14116.617416204783, Score, 42.5,sDepthFirstSearchLowCost,Cost, 634.1738291884386, Score, -56.00000000000001, PathLength, 167.0,sLeastConnectedFirst,Cost, 416.43560208443256, Score, -28.999999999999996, PathLength, 86.0,
hMinimumConnectivity,Cost, 13852.071167059681, Score, 28.666666666666664,sDepthFirstSearchLowCost,Cost, 410.3013270018379, Score, -39.33333333333333, PathLength, 117.0,sLeastConnectedFirst,Cost, 236.40613506317382, Score, -18.0, PathLength, 53.0,
hRandomSet,Cost, 309.02339683980597, Score, 29.666666666666664,sDepthFirstSearchLowCost,Cost, 255.74067609063178, Score, -28.333333333333332, PathLength, 84.0,sLeastConnectedFirst,Cost, 468.1312769816688, Score, -31.0, PathLength, 92.0,
hMinimumConnectivity,Cost, 19337.06502307773, Score, 49.33333333333333,sDepthFirstSearchLowCost,Cost, 613.1149138124016, Score, -64.66666666666666, PathLength, 193.0,sLeastConnectedFirst,Cost, 459.4679678140237, Score, -34.0, PathLength, 101.0,
hMinimumConnectivity,Cost, 3689.479316521669, Score, 39.333333333333336,sDepthFirstSearchLowCost,Cost, 480.27631099652376, Score, -47.66666666666667, PathLength, 142.0,sLeastConnectedFirst,Cost, 411.90193584648307, Score, -31.0, PathLength, 92.0,
hMinimumConnectivity,Cost, 5390.069177332242, Score, 41.333333333333336,sDepthFirstSearchLowCost,Cost, 536.8600156424363, Score, -56.333333333333336, PathLength, 168.0,sLeastConnectedFirst,Cost, 344.27238181375884, Score, -26.333333333333332, PathLength, 78.0,
hRandomSet,Cost, 111.61606426634842, Score, 44.83333333333334,sDepthFirstSearchLowCost,Cost, 600.8826017705386, Score, -55.00000000000001, PathLength, 164.0,sLeastConnectedFirst,Cost, 535.2969026151864, Score, -34.66666666666667, PathLength, 103.0,
hRandomSet,Cost, 228.6844647610373, Score, 35.5,sDepthFirstSearchLowCost,Cost, 399.8496758839803, Score, -38.666666666666664, PathLength, 115.0,sLeastConnectedFirst,Cost, 452.2962627185555, Score, -32.33333333333333, PathLength, 96.0,
hMinimumConnectivity,Cost, 3778.482100904381, Score, 29.666666666666668,sDepthFirstSearchLowCost,Cost, 252.95962825610783, Score, -35.0, PathLength, 104.0,sLeastConnectedFirst,Cost, 299.74835676360834, Score, -24.333333333333336, PathLength, 72.0,
hMinimumConnectivity,Cost, 21441.259904541883, Score, 40.33333333333333,sDepthFirstSearchLowCost,Cost, 534.9120027293872, Score, -50.0, PathLength, 149.0,sLeastConnectedFirst,Cost, 463.0665929377668, Score, -30.666666666666664, PathLength, 91.0,
hRandomSet,Cost, 208.64521908885717, Score, 26.333333333333332,sDepthFirstSearchLowCost,Cost, 202.68424620620218, Score, -25.666666666666664, PathLength, 76.0,sLeastConnectedFirst,Cost, 339.7066417937522, Score, -27.0, PathLength, 80.0,
hRandomSet,Cost, 195.28601650363606, Score, 29.0,sDepthFirstSearchLowCost,Cost, 314.33230354039284, Score, -37.333333333333336, PathLength, 111.0,sLeastConnectedFirst,Cost, 324.0542178480568, Score, -20.666666666666668, PathLength, 61.0,
hMinimumConnectivity,Cost, 20333.028771252895, Score, 33.16666666666667,sDepthFirstSearchLowCost,Cost, 537.7981338998433, Score, -49.333333333333336, PathLength, 147.0,sLeastConnectedFirst,Cost, 295.0991630754424, Score, -17.0, PathLength, 50.0,
hRandomSet,Cost, 143.16643059050065, Score, 29.5,sDepthFirstSearchLowCost,Cost, 234.88948161122835, Score, -26.666666666666668, PathLength, 79.0,sLeastConnectedFirst,Cost, 492.59891173652477, Score, -32.33333333333333, PathLength, 96.0,
hRandomSet,Cost, 406.167592478984, Score, 42.5,sDepthFirstSearchLowCost,Cost, 601.9235285839836, Score, -61.66666666666667, PathLength, 184.0,sLeastConnectedFirst,Cost, 351.82068119172186, Score, -23.333333333333332, PathLength, 69.0,
hRandomSet,Cost, 79.04043990961195, Score, 35.16666666666667,sDepthFirstSearchLowCost,Cost, 328.72466007149717, Score, -37.333333333333336, PathLength, 111.0,sLeastConnectedFirst,Cost, 468.8627230779307, Score, -33.0, PathLength, 98.0,
hRandomSet,Cost, 213.51512759044903, Score, 43.5,sDepthFirstSearchLowCost,Cost, 593.6615361057295, Score, -52.666666666666664, PathLength, 157.0,sLeastConnectedFirst,Cost, 516.2671715865027, Score, -34.333333333333336, PathLength, 102.0,
hMinimumConnectivity,Cost, 8715.595659023726, Score, 45.833333333333336,sDepthFirstSearchLowCost,Cost, 598.3779144822483, Score, -62.0, PathLength, 185.0,sLeastConnectedFirst,Cost, 422.63299042142336, Score, -29.666666666666668, PathLength, 88.0,
hMinimumConnectivity,Cost, 17683.567719911935, Score, 47.333333333333336,sDepthFirstSearchLowCost,Cost, 608.007054557446, Score, -59.333333333333336, PathLength, 177.0,sLeastConnectedFirst,Cost, 497.9168398019364, Score, -35.333333333333336, PathLength, 105.0,
hRandomSet,Cost, 211.11855315143092, Score, 38.83333333333333,sDepthFirstSearchLowCost,Cost, 449.28422295091025, Score, -44.333333333333336, PathLength, 132.0,sLeastConnectedFirst,Cost, 501.3141524618316, Score, -33.33333333333333, PathLength, 99.0,
hRandomSet,Cost, 217.44332350128784, Score, 28.833333333333332,sDepthFirstSearchLowCost,Cost, 314.9612649755095, Score, -31.666666666666664, PathLength, 94.0,sLeastConnectedFirst,Cost, 389.94261047071313, Score, -26.0, PathLength, 77.0,
hRandomSet,Cost, 141.1408724729931, Score, 26.166666666666668,sDepthFirstSearchLowCost,Cost, 234.78540305944784, Score, -30.333333333333336, PathLength, 90.0,sLeastConnectedFirst,Cost, 273.82501200415277, Score, -22.0, PathLength, 65.0,
hRandomSet,Cost, 158.3378507760109, Score, 35.0,sDepthFirstSearchLowCost,Cost, 350.96312701641705, Score, -33.666666666666664, PathLength, 100.0,sLeastConnectedFirst,Cost, 532.834055745228, Score, -36.333333333333336, PathLength, 108.0,
hRandomSet,Cost, 115.60628393064735, Score, 27.333333333333336,sDepthFirstSearchLowCost,Cost, 268.21221397510914, Score, -31.0, PathLength, 92.0,sLeastConnectedFirst,Cost, 331.9066725358394, Score, -23.666666666666668, PathLength, 70.0,
hMinimumConnectivity,Cost, 20238.574006820254, Score, 31.166666666666664,sDepthFirstSearchLowCost,Cost, 425.3657410689304, Score, -39.33333333333333, PathLength, 117.0,sLeastConnectedFirst,Cost, 329.06894888740914, Score, -23.0, PathLength, 68.0,
hMinimumConnectivity,Cost, 15992.987281010452, Score, 46.0,sDepthFirstSearchLowCost,Cost, 687.7735452440381, Score, -66.0, PathLength, 197.0,sLeastConnectedFirst,Cost, 420.8173126714311, Score, -26.0, PathLength, 77.0,
hRandomSet,Cost, 191.75079288368357, Score, 31.0,sDepthFirstSearchLowCost,Cost, 300.2360715474833, Score, -33.0, PathLength, 98.0,sLeastConnectedFirst,Cost, 395.43431596143097, Score, -28.999999999999996, PathLength, 86.0,
hMinimumConnectivity,Cost, 9048.990601995545, Score, 44.16666666666667,sDepthFirstSearchLowCost,Cost, 632.1429566150249, Score, -56.333333333333336, PathLength, 168.0,sLeastConnectedFirst,Cost, 446.80396274121233, Score, -32.0, PathLength, 95.0,
hMinimumConnectivity,Cost, 16309.423202391357, Score, 45.5,sDepthFirstSearchLowCost,Cost, 671.2895162426339, Score, -64.0, PathLength, 191.0,sLeastConnectedFirst,Cost, 442.4462774771475, Score, -27.0, PathLength, 80.0,
hRandomSet,Cost, 426.0585203093725, Score, 49.33333333333333,sDepthFirstSearchLowCost,Cost, 646.1268239556962, Score, -61.33333333333333, PathLength, 183.0,sLeastConnectedFirst,Cost, 558.5973302482086, Score, -37.333333333333336, PathLength, 111.0,
