[100, [RandomSet,1], [ConstrainedRandomWalk,1], {Topology,scalefree}, {NumberOfNodes,100}, {NumberOfHideLocations,5}, {Rounds,1}, {EdgeWeight,1.0}, {FixedOrUpperWeight,random}, {EdgeTraversalDecrement,0}, {MixHiders,false}, {MixSeekers,false}]
hRandomSet,Cost, 14.799384634241605, Score, 135.97560975609758, LeastConnectedNodes, 25, MostConnectedNodes, 1,sConstrainedRandomWalk,Cost, 110.66988569166753, Score, -135.97560975609758, PathLength, 222.0,
hRandomSet,Cost, 29.6406501602623, Score, 96.71052631578947, LeastConnectedNodes, 40, MostConnectedNodes, 1,sConstrainedRandomWalk,Cost, 67.55398751628785, Score, -96.71052631578947, PathLength, 146.0,
hRandomSet,Cost, 39.94227150454856, Score, 179.87012987012986, LeastConnectedNodes, 43, MostConnectedNodes, 1,sConstrainedRandomWalk,Cost, 133.94006125013283, Score, -179.87012987012986, PathLength, 276.0,
hRandomSet,Cost, 64.87300026908602, Score, 140.66666666666669, LeastConnectedNodes, 43, MostConnectedNodes, 1,sConstrainedRandomWalk,Cost, 97.79021269953721, Score, -140.66666666666669, PathLength, 210.0,
hRandomSet,Cost, 59.66603752075129, Score, 97.22222222222221, LeastConnectedNodes, 38, MostConnectedNodes, 1,sConstrainedRandomWalk,Cost, 72.42098256411188, Score, -97.22222222222221, PathLength, 139.0,
hRandomSet,Cost, 46.32369659362725, Score, 119.86754966887416, LeastConnectedNodes, 39, MostConnectedNodes, 1,sConstrainedRandomWalk,Cost, 89.69111682829666, Score, -119.86754966887416, PathLength, 180.0,
hRandomSet,Cost, 22.99921887790923, Score, 112.10191082802548, LeastConnectedNodes, 36, MostConnectedNodes, 1,sConstrainedRandomWalk,Cost, 90.78392836423131, Score, -112.10191082802548, PathLength, 175.0,
hRandomSet,Cost, 77.86231833290839, Score, 108.0, LeastConnectedNodes, 35, MostConnectedNodes, 1,sConstrainedRandomWalk,Cost, 79.56472285653618, Score, -108.0, PathLength, 161.0,
hRandomSet,Cost, 76.74807248604839, Score, 297.9865771812081, LeastConnectedNodes, 40, MostConnectedNodes, 1,sConstrainedRandomWalk,Cost, 208.8321193527564, Score, -297.9865771812081, PathLength, 443.0,
hRandomSet,Cost, 13.183370373769096, Score, 141.44736842105263, LeastConnectedNodes, 37, MostConnectedNodes, 1,sConstrainedRandomWalk,Cost, 113.35198015733945, Score, -141.44736842105263, PathLength, 214.0,
hRandomSet,Cost, 134.07687771242686, Score, 47.46835443037975, LeastConnectedNodes, 36, MostConnectedNodes, 1,sConstrainedRandomWalk,Cost, 38.70514271344284, Score, -47.46835443037975, PathLength, 74.0,
hRandomSet,Cost, 23.685046555077545, Score, 88.23529411764706, LeastConnectedNodes, 43, MostConnectedNodes, 1,sConstrainedRandomWalk,Cost, 64.71963482483709, Score, -88.23529411764706, PathLength, 134.0,
hRandomSet,Cost, 49.40156439691452, Score, 305.69620253164555, LeastConnectedNodes, 37, MostConnectedNodes, 1,sConstrainedRandomWalk,Cost, 243.62934754958602, Score, -305.69620253164555, PathLength, 482.0,
hRandomSet,Cost, 24.798561514104573, Score, 127.56410256410255, LeastConnectedNodes, 38, MostConnectedNodes, 1,sConstrainedRandomWalk,Cost, 87.68615495648714, Score, -127.56410256410255, PathLength, 198.0,
hRandomSet,Cost, 24.872866598596882, Score, 133.55704697986576, LeastConnectedNodes, 38, MostConnectedNodes, 1,sConstrainedRandomWalk,Cost, 97.21435606064409, Score, -133.55704697986576, PathLength, 198.0,
hRandomSet,Cost, 44.028130315096554, Score, 146.20689655172413, LeastConnectedNodes, 39, MostConnectedNodes, 1,sConstrainedRandomWalk,Cost, 97.36173065031012, Score, -146.20689655172413, PathLength, 211.0,
hRandomSet,Cost, 35.415213175842766, Score, 100.0, LeastConnectedNodes, 39, MostConnectedNodes, 1,sConstrainedRandomWalk,Cost, 67.65627688226658, Score, -100.0, PathLength, 148.0,
hRandomSet,Cost, 15.163723845776747, Score, 55.487804878048784, LeastConnectedNodes, 33, MostConnectedNodes, 1,sConstrainedRandomWalk,Cost, 40.407795994007785, Score, -55.487804878048784, PathLength, 90.0,
hRandomSet,Cost, 16.644348002540966, Score, 240.25974025974025, LeastConnectedNodes, 33, MostConnectedNodes, 1,sConstrainedRandomWalk,Cost, 170.55412043829645, Score, -240.25974025974025, PathLength, 369.0,
hRandomSet,Cost, 28.411605390355163, Score, 127.02702702702702, LeastConnectedNodes, 39, MostConnectedNodes, 1,sConstrainedRandomWalk,Cost, 94.02472016191064, Score, -127.02702702702702, PathLength, 187.0,
hRandomSet,Cost, 93.94219549280565, Score, 104.19580419580419, LeastConnectedNodes, 39, MostConnectedNodes, 1,sConstrainedRandomWalk,Cost, 61.10102087277517, Score, -104.19580419580419, PathLength, 148.0,
hRandomSet,Cost, 83.33293820211375, Score, 125.49019607843137, LeastConnectedNodes, 43, MostConnectedNodes, 1,sConstrainedRandomWalk,Cost, 104.01463495376426, Score, -125.49019607843137, PathLength, 191.0,
