[100, [RandomSet,1][MinimumConnectivity,1][MaxDistance,1][Random,1][RandomDirection,1][RandomFixedDistance,1][LowEdgeCostRandomFixedDistance,1], [ConstrainedRandomWalk,1], {Topology,random}, {NumberOfNodes,100}, {NumberOfHideLocations,5}, {Rounds,100}, {EdgeWeight,10.0}, {FixedOrUpperWeight,random}, {EdgeTraversalDecrement,0}, {MixHiders,false}, {MixSeekers,false}]
hMaxDistance,Cost, 2082.2342415338444, Score, 34.45333333333333, GraphDiameter, 8.0,sConstrainedRandomWalk,Cost, 526.9792169777668, Score, -34.45333333333333, PathLength, 102.0,
hRandom,Cost, 47.60236368784027, Score, 31.046666666666674,sConstrainedRandomWalk,Cost, 477.6515425331979, Score, -31.046666666666674, PathLength, 92.0,
hRandomDirection,Cost, 21.20348877199477, Score, 31.313333333333325,sConstrainedRandomWalk,Cost, 474.7869073323142, Score, -31.313333333333325, PathLength, 92.0,
hRandomFixedDistance,Cost, 73.53250545659841, Score, 29.71666666666665,sConstrainedRandomWalk,Cost, 453.7247354727374, Score, -29.71666666666665, PathLength, 88.0,
hLowEdgeCostRandomFixedDistance,Cost, 27.262340691011037, Score, 34.46666666666666,sConstrainedRandomWalk,Cost, 533.2949006203157, Score, -34.46666666666666, PathLength, 102.0,
hRandomSet,Cost, 45.61009754412336, Score, 38.183333333333344,sConstrainedRandomWalk,Cost, 577.2734384069784, Score, -38.183333333333344, PathLength, 113.0,
hMinimumConnectivity,Cost, 563.7880640429754, Score, 59.02666666666667, AverageDegreeOfNodes, 6.0, DegreeOfLeastConnectedNodes, 2, NumberOfLeastConnectedNodes, 8, DegreeOfMostConnectedNodes, 13, NumberOfMostConnectedNodes, 2,sConstrainedRandomWalk,Cost, 890.5157774471842, Score, -59.02666666666667, PathLength, 176.0,
hMaxDistance,Cost, 59.54299942060561, Score, 33.18333333333333, GraphDiameter, 3.0,sConstrainedRandomWalk,Cost, 502.44246924131244, Score, -33.18333333333333, PathLength, 98.0,
hRandom,Cost, 44.160473340793054, Score, 32.8,sConstrainedRandomWalk,Cost, 494.5632033055276, Score, -32.8, PathLength, 97.0,
hRandomDirection,Cost, 21.06241591975413, Score, 30.86000000000001,sConstrainedRandomWalk,Cost, 462.7905793806349, Score, -30.86000000000001, PathLength, 91.0,
