[100, [Random,1][RandomDirection,1][RandomSet,1][RandomFixedDistance,1][LowEdgeCostRandomFixedDistance,1][LowEdgeCostFixedDistance,1][MinimumConnectivity,1][MaxDistance,1], [ConstrainedRandomWalk,1], {Topology,random}, {NumberOfNodes,100}, {NumberOfHideLocations,5}, {Rounds,100}, {EdgeWeight,1.0}, {FixedOrUpperWeight,random}, {EdgeTraversalDecrement,0}, {MixHiders,false}, {MixSeekers,false}]
hLowEdgeCostRandomFixedDistance,Cost, 8.395897572129073, Score, 30.616666666666656,sConstrainedRandomWalk,Cost, 47.12438183130373, Score, -30.616666666666656, PathLength, 90.0,
hMinimumConnectivity,Cost, 527.7258670458779, Score, 56.539999999999985,sConstrainedRandomWalk,Cost, 87.15274165516038, Score, -56.539999999999985, PathLength, 168.0,
hMaxDistance,Cost, 224.95376084196346, Score, 31.109999999999985,sConstrainedRandomWalk,Cost, 47.90337110557528, Score, -31.109999999999985, PathLength, 92.0,
hRandom,Cost, 4.868680795807272, Score, 33.38333333333335,sConstrainedRandomWalk,Cost, 51.2418904728171, Score, -33.38333333333335, PathLength, 99.0,
hRandomDirection,Cost, 2.099069897064095, Score, 33.86000000000001,sConstrainedRandomWalk,Cost, 51.8758279355313, Score, -33.86000000000001, PathLength, 100.0,
hRandomSet,Cost, 4.77474698706414, Score, 36.856666666666676,sConstrainedRandomWalk,Cost, 56.48583782871319, Score, -36.856666666666676, PathLength, 109.0,
hRandomFixedDistance,Cost, 22.232879334560103, Score, 31.43333333333333,sConstrainedRandomWalk,Cost, 48.449582887683064, Score, -31.43333333333333, PathLength, 93.0,
hLowEdgeCostRandomFixedDistance,Cost, 9.97767602819786, Score, 29.550000000000004,sConstrainedRandomWalk,Cost, 45.06092631408841, Score, -29.550000000000004, PathLength, 87.0,
hMinimumConnectivity,Cost, 1023.3495631801775, Score, 83.79666666666664,sConstrainedRandomWalk,Cost, 129.17137134073144, Score, -83.79666666666664, PathLength, 250.0,
hMaxDistance,Cost, 15.257339457951346, Score, 34.18666666666666,sConstrainedRandomWalk,Cost, 52.61883733890266, Score, -34.18666666666666, PathLength, 101.0,
hRandom,Cost, 4.379509945570891, Score, 31.41333333333332,sConstrainedRandomWalk,Cost, 45.07618689809556, Score, -31.41333333333332, PathLength, 93.0,
hRandomDirection,Cost, 2.1151486625180493, Score, 28.066666666666684,sConstrainedRandomWalk,Cost, 39.91843568001279, Score, -28.066666666666684, PathLength, 83.0,
hRandomSet,Cost, 4.1754440272415145, Score, 40.78666666666669,sConstrainedRandomWalk,Cost, 58.57807810508409, Score, -40.78666666666669, PathLength, 121.0,
