[100, [Random,1][RandomDirection,1][RandomSet,1][RandomFixedDistance,1][LowEdgeCostRandomFixedDistance,1][LowEdgeCostFixedDistance,1][MinimumConnectivity,1][MaxDistance,1], [ConstrainedRandomWalk,1], {Topology,random}, {NumberOfNodes,100}, {NumberOfHideLocations,i+1}, {Rounds,100}, {EdgeWeight,1.0}, {FixedOrUpperWeight,random}, {EdgeTraversalDecrement,0}, {MixHiders,false}, {MixSeekers,false}]
hRandom,Cost, 9.077901464719071, Score, 37.390000000000015,sConstrainedRandomWalk,Cost, 56.8737985642182, Score, -37.390000000000015, PathLength, 111.0,
hRandomDirection,Cost, 4.163487763484082, Score, 34.393333333333345,sConstrainedRandomWalk,Cost, 51.88191783673038, Score, -34.393333333333345, PathLength, 102.0,
hRandomSet,Cost, 8.516686909875917, Score, 42.36666666666668,sConstrainedRandomWalk,Cost, 64.09177098140343, Score, -42.36666666666668, PathLength, 126.0,
hRandomFixedDistance,Cost, 22.87048547391334, Score, 37.00333333333334,sConstrainedRandomWalk,Cost, 56.568422094119505, Score, -37.00333333333334, PathLength, 110.0,
hLowEdgeCostRandomFixedDistance,Cost, 15.646372130036916, Score, 39.05666666666666,sConstrainedRandomWalk,Cost, 58.88481985179225, Score, -39.05666666666666, PathLength, 116.0,
hMinimumConnectivity,Cost, 2338.2199765691216, Score, 60.75999999999996,sConstrainedRandomWalk,Cost, 92.89569512066923, Score, -60.75999999999996, PathLength, 181.0,
hMaxDistance,Cost, 460.36044220786704, Score, 37.706666666666656,sConstrainedRandomWalk,Cost, 56.9794725580748, Score, -37.706666666666656, PathLength, 112.0,
hRandom,Cost, 8.958269302632917, Score, 36.89666666666666,sConstrainedRandomWalk,Cost, 54.012837135567885, Score, -36.89666666666666, PathLength, 109.0,
hRandomDirection,Cost, 4.41843374028615, Score, 36.98000000000001,sConstrainedRandomWalk,Cost, 54.70021867469316, Score, -36.98000000000001, PathLength, 109.0,
hRandomSet,Cost, 7.194616618657426, Score, 43.18333333333335,sConstrainedRandomWalk,Cost, 62.92098296151091, Score, -43.18333333333335, PathLength, 128.0,
hRandomFixedDistance,Cost, 44.48737741037883, Score, 40.326666666666675,sConstrainedRandomWalk,Cost, 59.49946225343614, Score, -40.326666666666675, PathLength, 119.0,
hLowEdgeCostRandomFixedDistance,Cost, 7.230965416125461, Score, 37.00000000000001,sConstrainedRandomWalk,Cost, 54.70708343179039, Score, -37.00000000000001, PathLength, 110.0,
hMinimumConnectivity,Cost, 4209.932924263261, Score, 70.18666666666667,sConstrainedRandomWalk,Cost, 103.22434059710862, Score, -70.18666666666667, PathLength, 209.0,
hMaxDistance,Cost, 453.9424136363787, Score, 37.87666666666668,sConstrainedRandomWalk,Cost, 55.68126167190926, Score, -37.87666666666668, PathLength, 112.0,
hRandom,Cost, 10.674086488616705, Score, 39.58666666666666,sConstrainedRandomWalk,Cost, 58.47814322176639, Score, -39.58666666666666, PathLength, 117.0,
hRandomDirection,Cost, 4.926153998047767, Score, 39.88333333333332,sConstrainedRandomWalk,Cost, 58.64108274723504, Score, -39.88333333333332, PathLength, 118.0,
hRandomSet,Cost, 8.477095774761843, Score, 44.13000000000001,sConstrainedRandomWalk,Cost, 65.14126213214075, Score, -44.13000000000001, PathLength, 131.0,
hRandomFixedDistance,Cost, 43.3619403896762, Score, 41.64333333333333,sConstrainedRandomWalk,Cost, 60.86412440041547, Score, -41.64333333333333, PathLength, 123.0,
hLowEdgeCostRandomFixedDistance,Cost, 39.27326284959083, Score, 40.190000000000005,sConstrainedRandomWalk,Cost, 59.216942044789384, Score, -40.190000000000005, PathLength, 119.0,
hMinimumConnectivity,Cost, 2131.0868922547675, Score, 67.46666666666665,sConstrainedRandomWalk,Cost, 99.70391236591038, Score, -67.46666666666665, PathLength, 201.0,
hMaxDistance,Cost, 515.197513064042, Score, 41.93666666666669,sConstrainedRandomWalk,Cost, 61.92670148527972, Score, -41.93666666666669, PathLength, 124.0,
hRandom,Cost, 11.374083861738063, Score, 38.85999999999999,sConstrainedRandomWalk,Cost, 58.106497789359636, Score, -38.85999999999999, PathLength, 115.0,
hRandomDirection,Cost, 5.455581354707743, Score, 38.733333333333334,sConstrainedRandomWalk,Cost, 58.15945497871073, Score, -38.733333333333334, PathLength, 115.0,
hRandomSet,Cost, 9.686943110948311, Score, 41.43666666666665,sConstrainedRandomWalk,Cost, 61.980085909568906, Score, -41.43666666666665, PathLength, 123.0,
hRandomFixedDistance,Cost, 47.896058542817045, Score, 41.57333333333333,sConstrainedRandomWalk,Cost, 61.91209189530611, Score, -41.57333333333333, PathLength, 123.0,
hLowEdgeCostRandomFixedDistance,Cost, 13.681947440990198, Score, 40.56666666666668,sConstrainedRandomWalk,Cost, 60.50728508425709, Score, -40.56666666666668, PathLength, 120.0,
hMinimumConnectivity,Cost, 4460.406886190248, Score, 54.009999999999984,sConstrainedRandomWalk,Cost, 80.9280809888079, Score, -54.009999999999984, PathLength, 161.0,
hMaxDistance,Cost, 588.770558053736, Score, 39.356666666666676,sConstrainedRandomWalk,Cost, 58.93601693075985, Score, -39.356666666666676, PathLength, 117.0,
