[100, [RandomSet,1], [ConstrainedRandomWalk,1][DepthFirstSearchLowCost,1][OptimalBacktrackPath,1][BacktrackPath,1][LowEdgeCost,1], {Topology,random}, {NumberOfNodes,100}, {NumberOfHideLocations,5}, {Rounds,100}, {EdgeWeight,10.0}, {FixedOrUpperWeight,random}, {EdgeTraversalDecrement,0}, {MixHiders,false}, {MixSeekers,false}]
hRandomSet,Cost, 46.133213537765585, Score, 39.649999999999984,sConstrainedRandomWalk,Cost, 555.4729842417113, Score, -37.283333333333346, PathLength, 110.0,sDepthFirstSearchLowCost,Cost, 324.84850365067626, Score, -35.42, PathLength, 105.0,sOptimalBacktrackPath,Cost, 369.6536707644601, Score, -36.63666666666668, PathLength, 108.0,sBacktrackPath,Cost, 482.8841148908661, Score, -52.14, PathLength, 155.0,sLowEdgeCost,Cost, 373.2599212034775, Score, -36.77000000000001, PathLength, 109.0,
hRandomSet,Cost, 46.82338707783767, Score, 39.942666666666675,sConstrainedRandomWalk,Cost, 514.187033127728, Score, -36.029999999999994, PathLength, 107.0,sDepthFirstSearchLowCost,Cost, 329.2477509786305, Score, -35.86333333333335, PathLength, 106.0,sOptimalBacktrackPath,Cost, 377.3865332743394, Score, -37.99999999999999, PathLength, 113.0,sBacktrackPath,Cost, 468.9646149504669, Score, -50.82333333333334, PathLength, 151.0,sLowEdgeCost,Cost, 391.65370353582233, Score, -38.996666666666684, PathLength, 115.0,
hRandomSet,Cost, 46.43221947285041, Score, 46.32,sConstrainedRandomWalk,Cost, 569.1369635768219, Score, -37.54666666666667, PathLength, 111.0,sDepthFirstSearchLowCost,Cost, 358.2401315139115, Score, -36.97333333333334, PathLength, 109.0,sOptimalBacktrackPath,Cost, 376.70705856102023, Score, -36.79999999999998, PathLength, 109.0,sBacktrackPath,Cost, 895.0873820428959, Score, -82.54333333333332, PathLength, 246.0,sLowEdgeCost,Cost, 390.9375199920396, Score, -37.73666666666667, PathLength, 112.0,
hRandomSet,Cost, 48.79695815290384, Score, 40.202666666666666,sConstrainedRandomWalk,Cost, 606.7819987584702, Score, -39.94666666666666, PathLength, 118.0,sDepthFirstSearchLowCost,Cost, 338.56812121439265, Score, -34.783333333333324, PathLength, 103.0,sOptimalBacktrackPath,Cost, 419.2822541125631, Score, -38.796666666666674, PathLength, 115.0,sBacktrackPath,Cost, 485.33352802659965, Score, -47.863333333333316, PathLength, 142.0,sLowEdgeCost,Cost, 436.9389334048165, Score, -39.62333333333334, PathLength, 117.0,
hRandomSet,Cost, 47.450864453035656, Score, 42.41466666666666,sConstrainedRandomWalk,Cost, 574.8279399400183, Score, -36.980000000000004, PathLength, 109.0,sDepthFirstSearchLowCost,Cost, 329.28591025819793, Score, -33.87333333333333, PathLength, 100.0,sOptimalBacktrackPath,Cost, 482.7790785801289, Score, -43.0, PathLength, 128.0,sBacktrackPath,Cost, 609.1924410286994, Score, -61.00000000000002, PathLength, 182.0,sLowEdgeCost,Cost, 394.91283504863395, Score, -37.220000000000006, PathLength, 110.0,
hRandomSet,Cost, 37.40308167858706, Score, 37.35933333333333,sConstrainedRandomWalk,Cost, 460.5521097981658, Score, -33.613333333333344, PathLength, 99.0,sDepthFirstSearchLowCost,Cost, 269.38844561411736, Score, -32.556666666666665, PathLength, 96.0,sOptimalBacktrackPath,Cost, 282.0727574862547, Score, -33.54333333333334, PathLength, 99.0,sBacktrackPath,Cost, 444.5381348373019, Score, -52.55, PathLength, 156.0,sLowEdgeCost,Cost, 298.4041376376007, Score, -34.533333333333324, PathLength, 102.0,
hRandomSet,Cost, 41.50254849351554, Score, 39.27333333333334,sConstrainedRandomWalk,Cost, 570.117704363008, Score, -38.55666666666666, PathLength, 114.0,sDepthFirstSearchLowCost,Cost, 332.38353635955934, Score, -34.04333333333333, PathLength, 101.0,sOptimalBacktrackPath,Cost, 382.25205104741167, Score, -37.19666666666669, PathLength, 110.0,sBacktrackPath,Cost, 494.1929600848373, Score, -54.279999999999994, PathLength, 161.0,sLowEdgeCost,Cost, 308.62229587628076, Score, -32.290000000000006, PathLength, 95.0,
hRandomSet,Cost, 39.976713617278385, Score, 41.172,sConstrainedRandomWalk,Cost, 492.14265581493726, Score, -34.95333333333332, PathLength, 103.0,sDepthFirstSearchLowCost,Cost, 324.534740317977, Score, -35.82666666666667, PathLength, 106.0,sOptimalBacktrackPath,Cost, 385.2310390578608, Score, -38.92333333333333, PathLength, 115.0,sBacktrackPath,Cost, 467.9132315404806, Score, -58.00666666666667, PathLength, 173.0,sLowEdgeCost,Cost, 375.75619808753856, Score, -38.150000000000006, PathLength, 113.0,
hRandomSet,Cost, 48.22159230053984, Score, 38.20533333333332,sConstrainedRandomWalk,Cost, 568.716583693777, Score, -37.23333333333334, PathLength, 110.0,sDepthFirstSearchLowCost,Cost, 307.28388568747147, Score, -34.14999999999999, PathLength, 101.0,sOptimalBacktrackPath,Cost, 334.31526147410347, Score, -34.29333333333333, PathLength, 101.0,sBacktrackPath,Cost, 467.7437582448357, Score, -47.45000000000002, PathLength, 141.0,sLowEdgeCost,Cost, 389.84952401948, Score, -37.900000000000006, PathLength, 112.0,
hRandomSet,Cost, 51.444465501070674, Score, 38.67200000000002,sConstrainedRandomWalk,Cost, 573.8006615373946, Score, -37.18666666666665, PathLength, 110.0,sDepthFirstSearchLowCost,Cost, 323.04112673379126, Score, -34.36999999999999, PathLength, 102.0,sOptimalBacktrackPath,Cost, 370.3245301871242, Score, -36.21666666666668, PathLength, 107.0,sBacktrackPath,Cost, 497.9875670909837, Score, -50.533333333333346, PathLength, 150.0,sLowEdgeCost,Cost, 353.7257727701921, Score, -35.05333333333334, PathLength, 104.0,
