[100, [RandomSet,1], [ConstrainedRandomWalk,1][DepthFirstSearchLowCost,1][VariableBacktrackPath,1][BacktrackPath,1], {Topology,random}, {NumberOfNodes,100}, {NumberOfHideLocations,5}, {Rounds,100}, {EdgeWeight,10.0}, {FixedOrUpperWeight,random}, {EdgeTraversalDecrement,0}, {MixHiders,false}, {MixSeekers,false}]
hRandomSet,Cost, 42.06622204835051, Score, 52.43416666666669,sConstrainedRandomWalk,Cost, 561.5043113798836, Score, -37.816666666666656, PathLength, 112.0,sDepthFirstSearchLowCost,Cost, 321.53779936841624, Score, -35.66, PathLength, 105.0,sVariableBacktrackPath,Cost, 555.797146035789, Score, -59.66, PathLength, 177.0,sBacktrackPath,Cost, 796.634508357552, Score, -76.60000000000002, PathLength, 228.0,
hRandomSet,Cost, 41.72026887405144, Score, 49.1,sConstrainedRandomWalk,Cost, 533.5128079695398, Score, -36.28000000000001, PathLength, 107.0,sDepthFirstSearchLowCost,Cost, 313.5878679456347, Score, -35.89666666666667, PathLength, 106.0,sVariableBacktrackPath,Cost, 501.2893169485539, Score, -57.76333333333334, PathLength, 172.0,sBacktrackPath,Cost, 628.4464939370357, Score, -66.46, PathLength, 198.0,
hRandomSet,Cost, 52.62200321550708, Score, 41.80583333333332,sConstrainedRandomWalk,Cost, 606.8188363075683, Score, -36.24666666666668, PathLength, 107.0,sDepthFirstSearchLowCost,Cost, 374.06228390423115, Score, -33.20666666666666, PathLength, 98.0,sVariableBacktrackPath,Cost, 544.1814672851217, Score, -49.57666666666666, PathLength, 147.0,sBacktrackPath,Cost, 525.4587764080393, Score, -48.19333333333335, PathLength, 143.0,
hRandomSet,Cost, 43.69785023889019, Score, 44.51166666666666,sConstrainedRandomWalk,Cost, 538.1507680121986, Score, -36.51333333333333, PathLength, 108.0,sDepthFirstSearchLowCost,Cost, 320.56043964504636, Score, -34.80333333333334, PathLength, 103.0,sVariableBacktrackPath,Cost, 481.8680815852786, Score, -51.12999999999999, PathLength, 152.0,sBacktrackPath,Cost, 539.9321148483515, Score, -55.59999999999998, PathLength, 165.0,
hRandomSet,Cost, 49.28669148887912, Score, 41.74916666666665,sConstrainedRandomWalk,Cost, 584.9477282375698, Score, -37.226666666666674, PathLength, 110.0,sDepthFirstSearchLowCost,Cost, 359.7890956753652, Score, -36.430000000000014, PathLength, 108.0,sVariableBacktrackPath,Cost, 446.3500448336924, Score, -46.15666666666668, PathLength, 137.0,sBacktrackPath,Cost, 460.0235971228716, Score, -47.18333333333334, PathLength, 140.0,
hRandomSet,Cost, 44.08985420658476, Score, 50.468333333333334,sConstrainedRandomWalk,Cost, 571.7071725831453, Score, -39.72, PathLength, 118.0,sDepthFirstSearchLowCost,Cost, 332.1456852935678, Score, -35.31000000000001, PathLength, 104.0,sVariableBacktrackPath,Cost, 575.3548888352445, Score, -61.486666666666686, PathLength, 183.0,sBacktrackPath,Cost, 621.0768180818264, Score, -65.35666666666667, PathLength, 195.0,
hRandomSet,Cost, 39.72200031223534, Score, 47.81583333333335,sConstrainedRandomWalk,Cost, 531.2482624606968, Score, -37.36333333333333, PathLength, 111.0,sDepthFirstSearchLowCost,Cost, 282.61846734190306, Score, -34.86333333333334, PathLength, 103.0,sVariableBacktrackPath,Cost, 554.7301996104871, Score, -63.1833333333333, PathLength, 188.0,sBacktrackPath,Cost, 462.8254474592549, Score, -55.85333333333334, PathLength, 166.0,
hRandomSet,Cost, 38.39046704157272, Score, 57.42500000000001,sConstrainedRandomWalk,Cost, 573.4538354788947, Score, -39.20333333333333, PathLength, 116.0,sDepthFirstSearchLowCost,Cost, 358.21737767286174, Score, -35.24666666666666, PathLength, 104.0,sVariableBacktrackPath,Cost, 664.2549673237394, Score, -71.75000000000001, PathLength, 214.0,sBacktrackPath,Cost, 824.8975632829372, Score, -83.50000000000001, PathLength, 249.0,
hRandomSet,Cost, 40.36381185985765, Score, 48.67666666666667,sConstrainedRandomWalk,Cost, 534.6039692888223, Score, -35.58666666666667, PathLength, 105.0,sDepthFirstSearchLowCost,Cost, 303.1285646454291, Score, -34.71333333333334, PathLength, 103.0,sVariableBacktrackPath,Cost, 564.7856119233878, Score, -60.37333333333336, PathLength, 180.0,sBacktrackPath,Cost, 604.9889543669667, Score, -64.03333333333336, PathLength, 191.0,
hRandomSet,Cost, 43.4537142857984, Score, 40.275833333333345,sConstrainedRandomWalk,Cost, 500.9616502045418, Score, -35.21999999999999, PathLength, 104.0,sDepthFirstSearchLowCost,Cost, 295.91254270054674, Score, -33.36999999999998, PathLength, 99.0,sVariableBacktrackPath,Cost, 398.3230756128929, Score, -45.75999999999999, PathLength, 136.0,sBacktrackPath,Cost, 419.3737875027915, Score, -46.75333333333334, PathLength, 139.0,
hRandomSet,Cost, 47.635248095601874, Score, 50.69083333333334,sConstrainedRandomWalk,Cost, 567.871631744885, Score, -37.53333333333333, PathLength, 111.0,sDepthFirstSearchLowCost,Cost, 334.0999153338003, Score, -37.36333333333335, PathLength, 111.0,sVariableBacktrackPath,Cost, 644.0997286893285, Score, -63.59000000000002, PathLength, 189.0,sBacktrackPath,Cost, 641.8907118683345, Score, -64.27666666666669, PathLength, 191.0,
hRandomSet,Cost, 43.208767426317564, Score, 48.71583333333332,sConstrainedRandomWalk,Cost, 541.876469786238, Score, -36.94333333333333, PathLength, 109.0,sDepthFirstSearchLowCost,Cost, 324.0199965108179, Score, -35.89333333333334, PathLength, 106.0,sVariableBacktrackPath,Cost, 608.6203896730465, Score, -66.47666666666665, PathLength, 198.0,sBacktrackPath,Cost, 488.92224354194013, Score, -55.55000000000002, PathLength, 165.0,
hRandomSet,Cost, 52.00814684034527, Score, 45.02333333333333,sConstrainedRandomWalk,Cost, 598.1637808331966, Score, -37.90333333333333, PathLength, 112.0,sDepthFirstSearchLowCost,Cost, 366.13617464981695, Score, -37.313333333333325, PathLength, 110.0,sVariableBacktrackPath,Cost, 555.1136802731211, Score, -52.92333333333333, PathLength, 157.0,sBacktrackPath,Cost, 538.824969093919, Score, -51.95333333333334, PathLength, 154.0,
hRandomSet,Cost, 41.92453067504386, Score, 44.28333333333334,sConstrainedRandomWalk,Cost, 553.7270848430858, Score, -36.94666666666666, PathLength, 109.0,sDepthFirstSearchLowCost,Cost, 337.9603278849157, Score, -36.36666666666667, PathLength, 108.0,sVariableBacktrackPath,Cost, 509.25930774654864, Score, -54.67666666666667, PathLength, 163.0,sBacktrackPath,Cost, 436.3410960313028, Score, -49.143333333333345, PathLength, 146.0,
