[100, [Random,1][RandomDirection,1][RandomSet,1][RandomFixedDistance,1][LowEdgeCostRandomFixedDistance,1][VariableFixedDistance,1][LowEdgeCostVariableFixedDistance,1][LowEdgeCostFixedDistance,1][MinimumConnectivity,1][MaxDistance,1][RandomVariableHidePotential,1], [DepthFirstSearchLowCost,1], {Topology,random}, {NumberOfNodes,100}, {NumberOfHideLocations,5}, {Rounds,100}, {EdgeWeight,10.0}, {FixedOrUpperWeight,random}, {EdgeTraversalDecrement,0}]
hMaxDistance,Cost, 1894.2126851304772, Score, 34.25999999999999,sDepthFirstSearchLowCost,Cost, 330.82864137771924, Score, -34.25999999999999, PathLength, 101.0,
hRandomVariableHidePotential,Cost, 226.13088941975423, Score, 32.74666666666668,sDepthFirstSearchLowCost,Cost, 308.1208770126965, Score, -32.74666666666668, PathLength, 97.0,
hRandom,Cost, 44.4448320610017, Score, 29.97333333333333,sDepthFirstSearchLowCost,Cost, 266.0385530074075, Score, -29.97333333333333, PathLength, 88.0,
hRandomDirection,Cost, 20.23719449633494, Score, 31.620000000000008,sDepthFirstSearchLowCost,Cost, 286.2855297311605, Score, -31.620000000000008, PathLength, 93.0,
hRandomSet,Cost, 40.30986681649338, Score, 32.14666666666667,sDepthFirstSearchLowCost,Cost, 292.498580887305, Score, -32.14666666666667, PathLength, 95.0,
hRandomFixedDistance,Cost, 121.82915177783416, Score, 31.88999999999999,sDepthFirstSearchLowCost,Cost, 287.3859640665848, Score, -31.88999999999999, PathLength, 94.0,
hLowEdgeCostRandomFixedDistance,Cost, 53.17094786025328, Score, 21.096666666666664,sDepthFirstSearchLowCost,Cost, 163.99128322792686, Score, -21.096666666666664, PathLength, 62.0,
hVariableFixedDistance,Cost, 299.8687833585861, Score, 30.583333333333325,sDepthFirstSearchLowCost,Cost, 269.4870478360637, Score, -30.583333333333325, PathLength, 90.0,
hLowEdgeCostVariableFixedDistance,Cost, 139.5885596865526, Score, 26.423333333333343,sDepthFirstSearchLowCost,Cost, 221.24203285305157, Score, -26.423333333333343, PathLength, 78.0,
hMinimumConnectivity,Cost, 18450.565081477907, Score, 48.05333333333334,sDepthFirstSearchLowCost,Cost, 491.808662701507, Score, -48.05333333333334, PathLength, 143.0,
hMaxDistance,Cost, 2167.0455170734904, Score, 32.15333333333334,sDepthFirstSearchLowCost,Cost, 290.38460906016235, Score, -32.15333333333334, PathLength, 95.0,
hRandomVariableHidePotential,Cost, 191.46705771084916, Score, 30.913333333333327,sDepthFirstSearchLowCost,Cost, 275.11380761129425, Score, -30.913333333333327, PathLength, 91.0,
hRandom,Cost, 47.66722279034525, Score, 32.586666666666666,sDepthFirstSearchLowCost,Cost, 311.74830996297055, Score, -32.586666666666666, PathLength, 96.0,
hRandomDirection,Cost, 21.455864603006226, Score, 30.933333333333316,sDepthFirstSearchLowCost,Cost, 285.8095570370916, Score, -30.933333333333316, PathLength, 91.0,
hRandomSet,Cost, 44.87030807893397, Score, 37.75666666666666,sDepthFirstSearchLowCost,Cost, 369.920366645103, Score, -37.75666666666666, PathLength, 112.0,
hRandomFixedDistance,Cost, 146.70683679528236, Score, 33.13333333333333,sDepthFirstSearchLowCost,Cost, 312.8222000951005, Score, -33.13333333333333, PathLength, 98.0,
hLowEdgeCostRandomFixedDistance,Cost, 31.903187998988027, Score, 19.813333333333336,sDepthFirstSearchLowCost,Cost, 154.27048485616587, Score, -19.813333333333336, PathLength, 58.0,
hVariableFixedDistance,Cost, 329.19402868142794, Score, 34.62,sDepthFirstSearchLowCost,Cost, 335.65993526540524, Score, -34.62, PathLength, 102.0,
hLowEdgeCostVariableFixedDistance,Cost, 160.67221089472375, Score, 29.47000000000001,sDepthFirstSearchLowCost,Cost, 261.8413598357711, Score, -29.47000000000001, PathLength, 87.0,
hMinimumConnectivity,Cost, 10579.778410920077, Score, 62.506666666666625,sDepthFirstSearchLowCost,Cost, 655.3822074338475, Score, -62.506666666666625, PathLength, 186.0,
hMaxDistance,Cost, 1184.1317262412265, Score, 37.49666666666665,sDepthFirstSearchLowCost,Cost, 366.8338631706182, Score, -37.49666666666665, PathLength, 111.0,
hRandomVariableHidePotential,Cost, 209.76293609141652, Score, 31.35,sDepthFirstSearchLowCost,Cost, 289.10903172841415, Score, -31.35, PathLength, 93.0,
